Year,Month,Day,Max Temp,Min Temp,GDD
2003,03,09,-17.7,-29.5,0
2003,03,10,-12.9,-25.7,0
2003,03,11,-15.7,-22.7,0
2003,03,12,-11.8,-29.5,0
2003,03,13,-3.0,-12.6,0
2003,03,14,2.5,-12.2,0
2003,03,15,2.7,-5.6,0
2003,03,16,-0.2,-8.0,0
2003,03,17,4.4,-1.7,0
2003,03,18,4.4,-6.1,0
2003,03,19,7.8,-4.9,0
2003,03,20,7.5,-7.1,0
2003,03,21,6.9,-0.7,0
2003,03,22,12.5,-2.6,0
2003,03,23,8.3,0.9,0
2003,03,24,4.8,-0.3,0
2003,03,25,5.5,-3.1,0
2003,03,26,6.9,-3.6,0
2003,03,27,6.2,-4.0,0
2003,03,28,1.7,-8.1,0
2003,03,29,9.7,-5.4,0
2003,03,30,12.6,-0.5,0
2003,03,31,9.7,-0.2,0
2003,04,01,0.1,-7.2,0
2003,04,02,-4.3,-9.2,0
2003,04,03,-7.5,-10.7,0
2003,04,04,-5.5,-10.8,0
2003,04,05,-4.5,-7.7,0
2003,04,06,-1.5,-5.8,0
2003,04,07,4.9,-4.3,0
2003,04,08,11.4,0.3,0
2003,04,09,19.4,1.8,0.5999999999999996
2003,04,10,14.2,-0.7,0
2003,04,11,15.7,0.4,0
2003,04,12,13.9,1.7,0
2003,04,13,2.8,0.6,0
2003,04,14,6.2,1.2,0
2003,04,15,5.4,0.2,0
2003,04,16,3.7,-2.1,0
2003,04,17,14.2,-0.2,0
2003,04,18,17.7,-0.6,0
2003,04,19,18.5,1.7,0.09999999999999964
2003,04,20,20.5,1.6,1.0500000000000007
2003,04,21,22.1,6.5,4.300000000000001
2003,04,22,23.6,7.2,5.4
2003,04,23,23.2,10.7,6.949999999999999
2003,04,24,20.2,9.0,4.6
2003,04,25,21.9,9.8,5.85
2003,04,26,16.8,7.1,1.9499999999999993
2003,04,27,7.3,2.1,0
2003,04,28,8.8,-0.4,0
2003,04,29,14.4,-2.5,0
2003,04,30,18.0,-1.1,0
2003,05,01,18.3,2.4,0.34999999999999964
2003,05,02,20.9,7.9,4.399999999999999
2003,05,03,13.0,1.9,0
2003,05,04,14.9,-1.0,0
2003,05,05,20.1,3.4,1.75
2003,05,06,19.3,3.7,1.5
2003,05,07,11.9,4.1,0
2003,05,08,15.0,0.7,0
2003,05,09,13.2,2.4,0
2003,05,10,13.1,-3.6,0
2003,05,11,17.3,-1.1,0
2003,05,12,20.8,3.7,2.25
2003,05,13,20.5,7.6,4.050000000000001
2003,05,14,22.9,5.1,4.0
2003,05,15,23.3,12.2,7.75
2003,05,16,15.5,3.4,0
2003,05,17,15.3,2.2,0
2003,05,18,7.9,-2.1,0
2003,05,19,15.3,-0.9,0
2003,05,20,19.5,1.8,0.6500000000000004
2003,05,21,21.9,-1.6,0.14999999999999858
2003,05,22,22.6,0.9,1.75
2003,05,23,25.8,4.9,5.350000000000001
2003,05,24,26.8,7.5,7.149999999999999
2003,05,25,28.5,13.5,11.0
2003,05,26,28.5,14.6,11.55
2003,05,27,26.3,7.5,6.899999999999999
2003,05,28,27.6,6.4,7.0
2003,05,29,26.0,10.7,8.350000000000001
2003,05,30,20.8,9.2,5.0
2003,05,31,23.7,5.9,4.800000000000001
2003,06,01,24.9,11.4,8.149999999999999
2003,06,02,19.3,12.8,6.050000000000001
2003,06,03,18.4,6.2,2.299999999999999
2003,06,04,21.9,9.3,5.6
2003,06,05,22.2,7.4,4.800000000000001
2003,06,06,14.6,6.3,0.4499999999999993
2003,06,07,15.9,7.4,1.6500000000000004
2003,06,08,23.1,5.5,4.300000000000001
2003,06,09,15.8,6.6,1.1999999999999993
2003,06,10,20.7,1.8,1.25
2003,06,11,20.2,10.5,5.35
2003,06,12,25.2,10.0,7.600000000000001
2003,06,13,30.2,7.7,8.95
2003,06,14,29.0,13.7,11.350000000000001
2003,06,15,26.8,10.0,8.399999999999999
2003,06,16,29.0,7.2,8.100000000000001
2003,06,17,27.4,8.1,7.75
2003,06,18,30.1,11.0,10.55
2003,06,19,34.7,14.5,14.600000000000001
2003,06,20,26.1,13.9,10.0
